Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Unit	Exposure_Unit	Array	Tissue	Further_Details	N	N_Studies	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH	CpG	Location	Chr	Pos	Gene	Type	Beta	SE	P	Details
Battram T	ARIES	-	09/04/2019	Hip cortical ratio neck	-	-	-	DNA methylation	Hip cortical ratio neck	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.009136	0.006345	0.15	-
Battram T	ARIES	-	09/04/2019	Ribs area	-	-	-	DNA methylation	Ribs area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	3.2e-05	2.3e-05	0.15	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in chylomicrons and XXL VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in chylomicrons and XXL VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	626	1	-	48	-	626	626	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.000575	4e-04	0.151	-
Battram T	ARIES	-	09/04/2019	Diastolic blood pressure	EFO_0006336	-	-	DNA methylation	Diastolic blood pressure	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.000353	0.000247	0.154	-
Battram T	ARIES	-	09/04/2019	Estimated degree of unsaturation	-	-	-	DNA methylation	Estimated degree of unsaturation	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	659	1	-	48	-	659	659	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.045423	0.032768	0.166	-
Battram T	ARIES	-	09/04/2019	Hip Wards Z-score	-	-	-	DNA methylation	Hip Wards Z-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	319	1	-	48	-	319	319	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.012566	0.009166	0.171	-
Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in large HDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	662	1	-	48	-	662	662	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.002631	0.001972	0.183	-
Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in medium LDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in medium LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.001542	0.001165	0.186	-
Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in IDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in IDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.001207	0.000918	0.189	-
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in medium LDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in medium LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.025692	0.019575	0.19	-
Battram T	ARIES	-	09/04/2019	Leg length	-	-	-	DNA methylation	Leg length	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	699	1	-	48	-	699	699	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.00064	0.000489	0.191	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in large LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in large LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	1e-05	8e-06	0.198	-
Battram T	ARIES	-	09/04/2019	Head circumference	EFO_0005114	-	-	DNA methylation	Head circumference	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	705	1	-	48	-	705	705	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.001624	0.001269	0.201	-
Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in large LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in large LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	8e-06	6e-06	0.204	-
Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in small VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.000529	0.000417	0.205	-
Battram T	ARIES	-	09/04/2019	Total Z-score	-	-	-	DNA methylation	Total Z-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.002467	0.001955	0.207	-
Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in small HDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in small HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.000699	0.000555	0.208	-
Battram T	ARIES	-	09/04/2019	Hip cortical width neck	-	-	-	DNA methylation	Hip cortical width neck	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.011662	0.009367	0.214	-
Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in medium HDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in medium HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.001937	0.001561	0.215	-
Battram T	ARIES	-	09/04/2019	Hip Wards area	-	-	-	DNA methylation	Hip Wards area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	687	1	-	48	-	687	687	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.018585	0.015165	0.221	-
Battram T	ARIES	-	09/04/2019	Strength index	-	-	-	DNA methylation	Strength index	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	659	1	-	48	-	659	659	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.006042	0.004946	0.222	-
Battram T	ARIES	-	09/04/2019	Hip upper neck area	-	-	-	DNA methylation	Hip upper neck area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	687	1	-	48	-	687	687	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.015385	0.012642	0.224	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters in very small VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in very small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.057835	0.047571	0.225	-
Battram T	ARIES	-	09/04/2019	Systolic blood pressure	EFO_0006335	-	-	DNA methylation	Systolic blood pressure	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	696	1	-	48	-	696	696	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.024272	0.019972	0.225	-
Battram T	ARIES	-	09/04/2019	Hip Wards bone mineral content	EFO_0007621	-	-	DNA methylation	Hip Wards bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.004553	0.003774	0.228	-
Battram T	ARIES	-	09/04/2019	Height	EFO_0004339	-	-	DNA methylation	Height	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	705	1	-	48	-	705	705	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.000376	0.000314	0.231	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters in small HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.041525	0.034665	0.231	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in IDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in IDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.001399	0.00117	0.232	-
Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in large LDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in large LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.001407	0.001177	0.233	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.00688	0.005823	0.238	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters in medium VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in medium VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.031698	0.027094	0.242	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in very small VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in very small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.036924	0.031658	0.244	-
Battram T	ARIES	-	09/04/2019	Total bone mineral density	EFO_0007591	-	-	DNA methylation	Total bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.025863	0.022441	0.25	-
Battram T	ARIES	-	09/04/2019	Total T-score	-	-	-	DNA methylation	Total T-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.002061	0.001796	0.252	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in small HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.037127	0.032562	0.255	-
Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in medium LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in medium LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	5e-06	4e-06	0.255	-
Battram T	ARIES	-	09/04/2019	Hip neck area	-	-	-	DNA methylation	Hip neck area	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	687	1	-	48	-	687	687	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.007166	0.00631	0.257	-
Battram T	ARIES	-	09/04/2019	Ribs bone mineral content	-	-	-	DNA methylation	Ribs bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.00733	0.006483	0.259	-
Battram T	ARIES	-	09/04/2019	Free cholesterol in small LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in small LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.133509	0.118606	0.261	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in medium VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in medium VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	662	1	-	48	-	662	662	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.02431	0.021764	0.264	-
Battram T	ARIES	-	09/04/2019	Ratio of omega 3 fatty acids to total fatty acids	-	-	-	DNA methylation	Ratio of omega 3 fatty acids to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	649	1	-	48	-	649	649	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.003171	0.002847	0.266	-
Battram T	ARIES	-	09/04/2019	Androstenedione	EFO_0007972	-	-	DNA methylation	Androstenedione	Age and technical covariates	Beta values	nmol/l	Illumina HumanMethylation450	Whole blood	-	673	1	-	48	-	673	673	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.005013	0.004546	0.271	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in medium VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in medium VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.00045	0.000411	0.274	-
Battram T	ARIES	-	09/04/2019	Total area	-	-	-	DNA methylation	Total area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	9e-06	8e-06	0.28	-
Battram T	ARIES	-	09/04/2019	Triglycerides in HDL	EFO_0004530	-	-	DNA methylation	Triglycerides in HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	669	1	-	48	-	669	669	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.009024	0.008402	0.283	-
Battram T	ARIES	-	09/04/2019	Remnant cholesterol non-HDL or non-LDL cholesterol	-	-	-	DNA methylation	Remnant cholesterol non-HDL or non-LDL cholesterol	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.00772	0.007238	0.287	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in medium LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in medium LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	4e-06	4e-06	0.289	-
Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in IDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in IDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.001008	0.000952	0.29	-
Battram T	ARIES	-	09/04/2019	Alpha neck angle	-	-	-	DNA methylation	Alpha neck angle	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	648	1	-	48	-	648	648	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.00061	0.000577	0.291	-
Battram T	ARIES	-	09/04/2019	Hip lower neck area	-	-	-	DNA methylation	Hip lower neck area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	687	1	-	48	-	687	687	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.013198	0.012532	0.293	-
Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in medium VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in medium VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.000432	0.000412	0.294	-
Battram T	ARIES	-	09/04/2019	Trunk fat free mass	-	-	-	DNA methylation	Trunk fat free mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	682	1	-	48	-	682	682	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.016973	0.016171	0.294	-
Battram T	ARIES	-	09/04/2019	Trunk lean mass	-	-	-	DNA methylation	Trunk lean mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	680	1	-	48	-	680	680	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.016903	0.016198	0.297	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in large VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.000452	0.000435	0.299	-
Battram T	ARIES	-	09/04/2019	Arm lean mass both	-	-	-	DNA methylation	Arm lean mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	686	1	-	48	-	686	686	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	3e-06	3e-06	0.301	-
Battram T	ARIES	-	09/04/2019	Arm fat free mass both	-	-	-	DNA methylation	Arm fat free mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	686	1	-	48	-	686	686	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	3e-06	3e-06	0.303	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in small VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.006154	0.005965	0.303	-
Battram T	ARIES	-	09/04/2019	Trunk area	-	-	-	DNA methylation	Trunk area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	1.3e-05	1.3e-05	0.31	-
Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in small LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in small LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	4e-06	4e-06	0.312	-
Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in very large VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in very large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	614	1	-	48	-	614	614	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.000204	0.000202	0.312	-
Battram T	ARIES	-	09/04/2019	Pyruvate	-	-	-	DNA methylation	Pyruvate	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.006685	0.006615	0.313	-
Battram T	ARIES	-	09/04/2019	Head area	-	-	-	DNA methylation	Head area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.000167	0.000166	0.316	-
Battram T	ARIES	-	09/04/2019	Triglycerides to total lipids ratio in very large HDL	EFO_0004530	-	-	DNA methylation	Triglycerides to total lipids ratio in very large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	639	1	-	48	-	639	639	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	-0.001756	0.001831	0.338	-
Battram T	ARIES	-	09/04/2019	Arm total mass both	-	-	-	DNA methylation	Arm total mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	685	1	-	48	-	685	685	-	-	-	-	-	cg00029284	chr12:111731203	12	111731203	CUX2	Open sea	0.009685	0.010237	0.344	-
