author	consortium	pmid	publication_date	trait	efo	analysis	source	outcome	exposure	covariates	outcome_unit	exposure_unit	array	tissue	further_details	n	n_studies	categories	age	n_males	n_females	n_eur	n_eas	n_sas	n_afr	n_amr	n_oth	id
Dick KJ		24630777	2014-03-13	Body mass index	EFO_0004340	Replication 2	Table 2	Body mass index	DNA methylation	Age, sex, smoking and technical covariates	kg/m2	Beta values	Illumina HumanMethylation450	Whole blood	Regression coeffcient is the proportion change in BMI for every 0.1 unit increase in methylation	1789	1		61	871	918	1789						24630777_body_mass_index_replication_2
Dick KJ		24630777	2014-03-13	Body mass index	EFO_0004340	Skin tissue	Table 3	Body mass index	DNA methylation	Age, sex, smoking and technical covariates	kg/m2	Beta values	Illumina HumanMethylation450	Skin	Regression coeffcient is the proportion change in BMI for every 0.1 unit increase in methylation	395	1		59	0	395	395						24630777_body_mass_index_skin_tissue
Weder N		24655651	2014-01-27	Depression	EFO_0007006		Table 1	Depression	DNA methylation	Age, sex and ethnicity		M values	Illumina HumanMethylation450	Saliva		190	1	94 maltreated children, 96 controls	10	80	110	32	57		57	72	29	24655651_depression
Harlid S		24704585	2014-07-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318		Table 2	DNA methylation	Smoking	Age, diethylstilbestrol exposure and technical covariates	Beta values		Illumina HumanMethylation450	Whole Blood		200	1	12 current smokers, 70 former smokers, 118 never smokers	50.6		200	200						24704585_smoking
Markunas CA		24906187	2014-10-01	Maternal smoking during pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Model 1	Table S2	DNA methylation	Maternal smoking during pregnancy	Offspring sex, offspring cleft status and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		889	1	287 smokers, 602 non-smokers	0	505	384	889						24906187_maternal_smoking_during_pregnancy_model_1
Markunas CA		24906187	2014-10-01	Maternal smoking during pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Model 2	Table S2	DNA methylation	Maternal smoking during pregnancy	Offspring sex, offspring cleft status, birth weight, maternal age, maternal alcohol consumption, maternal education, maternal folic acid, supplement use, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		889	1	287 smokers, 602 non-smokers	0	505	384	889						24906187_maternal_smoking_during_pregnancy_model_2
Irvin MR		24920721	2014-08-12	Triglycerides	EFO_0004530	Discovery	Table 1	DNA methylation	Triglycerides	Age, sex and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	CD4+ T-cells	Triglycerides levels were log-transformed	991	1		49	476	515	991						24920721_triglycerides
Irvin MR		24920721	2014-08-12	Very low-density lipoprotein cholesterol	EFO_0008317	Discovery	Table 1	DNA methylation	Very low-density lipoprotein cholesterol	Age, sex and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	CD4+ T-cells	Very low-density lipoprotein cholesterol levels were log-transformed	991	1		49	476	515	991						24920721_very_lowdensity_lipoprotein_cholesterol
Siegel EM		25003289	2014-08-01	High vs low risk anal cancer	EFO_0003835		Table 2	DNA methylation	High vs low risk anal cancer		Beta values		Illumina HumanMethylation450	Anal tumour		121	1	59 high anal cancer risk, 62 low anal cancer risk	55	47	74							25003289_high_vs_low_risk_anal_cancer
Kinoshita M		25052007	2014-07-23	Schizophrenia	EFO_0000692		Table S2	DNA methylation	Schizophrenia	Age, sex, cell counts, technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		105	1	63 schizophrenia cases, 42 controls	48	75	30		105					25052007_schizophrenia
Aslibekyan S		25075435	2014-11-01	Sunlight duration	OMIT_0014339		Table 2	DNA methylation	Sunlight duration	Age, sex, smoking, study centre, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	CD4+ T-cells		991	1		49	476	515	991						25075435_sunlight_duration
Aslibekyan S		25075435	2014-11-01	Sunlight duration	OMIT_0014339	Adjusted for vitamin D intake	Table 2	DNA methylation	Sunlight duration	Age, sex, smoking, study centre, vitamin D intake, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	CD4+ T-cells		991	1		49	476	515	991						25075435_sunlight_duration_adjusted_for_vitamin_d_intake
De Jager PL		25129075	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Replication	Table S2	DNA methylation	Alzheimers disease Braak score	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	Prefrontal cortex		113	1											25129075_alzheimers_disease_braak_score_replication
De Jager PL		25129075	2014-08-17	Alzheimers disease	EFO_0000249, EFO_0006801	Discovery	Table S2	Alzheimers disease	DNA methylation	Age, sex, study and technical covariates		Beta values	Illumina HumanMethylation450	Cerebral cortex		708	2	297 alzhemiers cases, 411 controls	88	260	448	708						25129075_alzheimers_disease_discovery
De Jager PL		25129075	2014-08-17	Burden of neuritic amyloid plaques	EFO_0000249, EFO_0006801	Discovery model 1	Table S2	DNA methylation	Burden of neuritic amyloid plaques	Age, sex, study and technical covariates	Beta values		Illumina HumanMethylation450	Cerebral cortex		708	2		88	260	448	708						25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1
De Jager PL		25129075	2014-08-17	Burden of neuritic amyloid plaques	EFO_0000249, EFO_0006801	Discovery model 3	Table S2	DNA methylation	Burden of neuritic amyloid plaques	Age, sex, study, cell counts, technical covariates	Beta values		Illumina HumanMethylation450	Cerebral cortex	Model additionally adjusted for estimated cell counts and surrogate variables	708	2		88	260	448							25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
Lunnon K		25129077	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Cross-cortex model	Table S9	DNA methylation	Alzheimers disease Braak stage	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	Cross-cortex		104	1											25129077_alzheimers_disease_braak_stage_crosscortex_model
Lunnon K		25129077	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Discovery in blood	Table S12	DNA methylation	Alzheimers disease Braak stage	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		57	1											25129077_alzheimers_disease_braak_stage_discovery_in_blood
Lunnon K		25129077	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Discovery in cerebellum	Table S6	DNA methylation	Alzheimers disease Braak stage	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	Cerebellum		108	1											25129077_alzheimers_disease_braak_stage_discovery_in_cerebellum
Lunnon K		25129077	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Discovery in entorhinal cortex	Table S3	DNA methylation	Alzheimers disease Braak stage	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	Entorhinal cortex		104	1											25129077_alzheimers_disease_braak_stage_discovery_in_entorhinal_cortex
Lunnon K		25129077	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Discovery in prefrontal cortex	Table S5	DNA methylation	Alzheimers disease Braak stage	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	Prefrontal cortex		110	1											25129077_alzheimers_disease_braak_stage_discovery_in_prefrontal_cortex
Lunnon K		25129077	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Discovery in superior temporal gyrus	Table S4	DNA methylation	Alzheimers disease Braak stage	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	Superior temporal gyrus		113	1											25129077_alzheimers_disease_braak_stage_discovery_in_superior_temporal_gyrus
Lunnon K		25129077	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Replication in prefrontal cortex	Table S5	DNA methylation	Alzheimers disease Braak stage	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	Prefrontal cortex		142	1											25129077_alzheimers_disease_braak_stage_replication_in_prefrontal_cortex
Lunnon K		25129077	2014-08-17	Alzheimers disease Braak stage	EFO_0000249, EFO_0006801	Replication in superior temporal gyrus	Table S4	DNA methylation	Alzheimers disease Braak stage	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	Superior temporal gyrus		144	1											25129077_alzheimers_disease_braak_stage_replication_in_superior_temporal_gyrus
Shah S		25249537	2014-09-23	Sex	PATO_0000047	Discovery	Table S3	DNA methylation	Sex	Smoking, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		815	1		70	416	399	815						25249537_sex_discovery
Shah S		25249537	2014-09-23	Sex	PATO_0000047	Replication	Table S3	DNA methylation	Sex	Smoking, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		445	1		79	174	271	445						25249537_sex_replication
Shah S		25249537	2014-09-23	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S2	DNA methylation	Smoking	Sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		535	1	103 current smokers, 432 never smokers	70	209	326							25249537_smoking_current_vs_never_smoking_discovery
Shah S		25249537	2014-09-23	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking replication	Table S2	DNA methylation	Smoking	Sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		232	1	31 current smokers, 201 never smokers	79	90	142							25249537_smoking_current_vs_never_smoking_replication
Bonder MJ		25282492	2014-10-04	Fetal vs adult liver	UBERON_0002107, GO_0048513		Additional file 2	DNA methylation	Fetal vs adult liver	Sex and technical covariates	M values		Illumina HumanMethylation450	Liver		195	2	14 fetal samples, 181 adult samples										25282492_fetal_vs_adult_liver
Campanella G		25324151	2014-10-15	Migration in Italy		South-to-north migrants vs north-western natives	Table S2	DNA methylation	Migration in Italy	Sex, case-control status and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		733	1	190 south-to-north migrants, 543 north-western natives	54	347	386	733						25324151_migration_in_italy_southtonorth_migrants_vs_northwestern_natives
Campanella G		25324151	2014-10-15	Migration in Italy		South-to-north migrants vs north-western natives adjusted for diet	Table S2	DNA methylation	Migration in Italy	Sex, smoking, case-control status, diet, physical activity and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		733	1	190 south-to-north migrants, 543 north-western natives	54	347	386	733						25324151_migration_in_italy_southtonorth_migrants_vs_northwestern_natives_adjusted_for_diet
Campanella G		25324151	2014-10-15	Migration in Italy		South-to-north migrants vs southern natives	Table S1	DNA methylation	Migration in Italy	Sex, case-control status and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		313	1	190 south-to-north migrants, 123 southern natives	52	177	136	313						25324151_migration_in_italy_southtonorth_migrants_vs_southern_natives
Campanella G		25324151	2014-10-15	Migration in Italy		South-to-north migrants vs southern natives adjusted for diet	Table S1	DNA methylation	Migration in Italy	Sex, smoking, case-control status, diet, physical activity and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		313	1	190 south-to-north migrants, 123 southern natives	52	177	136	313						25324151_migration_in_italy_southtonorth_migrants_vs_southern_natives_adjusted_for_diet
Argos M		25325195	2014-10-17	Blood arsenic concentration	CHEBI_27563	Discovery	Table 2	DNA methylation	Blood arsenic concentrations	Age, sex and technical covariates	Beta values	ug/l	Illumina HumanMethylation450	Whole blood		400	1		43	212	188			400				25325195_blood_arsenic_concentration_discovery
Argos M		25325195	2014-10-17	High vs low arsenic exposure	CHEBI_27563	Replication	Table S1	DNA methylation	High vs low arsenic exposure	Technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		48	1											25325195_high_vs_low_arsenic_exposure_replication
Argos M		25325195	2014-10-17	Urinary arsenic concentrations	EFO_0004880, CHEBI_27563	Discovery	Table 2	DNA methylation	Urinary arsenic concentrations	Age, sex and technical covariates	Beta values	ug/g	Illumina HumanMethylation450	Urine		400	1		43	212	188			400				25325195_urinary_arsenic_concentration_discovery
Lee KW		25325234	2014-10-17	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Discovery	Table 2	DNA methylation	Maternal smoking in pregnancy	Age, sex, cell counts and technical covariates	M values	Cigarettes per day	Illumina HumanMethylation450	Whole blood		132	1	66 exposed, 66 non-exposed	16	66	66	132						25325234_maternal_smoking_in_pregnancy_discovery
Lee KW		25325234	2014-10-17	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Discovery adjusted for current participant and parent smoking	Table 2	DNA methylation	Maternal smoking in pregnancy	Age, sex, participant smoking, parent smoking, cell counts and technical covariates	M values	Cigarettes per day	Illumina HumanMethylation450	Whole blood		125	1	62 exposed, 63 non-exposed	16	62	63	125						25325234_maternal_smoking_in_pregnancy_discovery_adjusted_for_current_participant_and_parent_smoking
Lee KW		25325234	2014-10-17	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Discovery adjusted for current participant smoking	Table 2	DNA methylation	Maternal smoking in pregnancy	Age, sex, participant smoking, cell counts and technical covariates	M values	Cigarettes per day	Illumina HumanMethylation450	Whole blood		128	1	63 exposed, 65 non-exposed	16	64	64	128						25325234_maternal_smoking_in_pregnancy_discovery_adjusted_for_current_participant_smoking
Lee KW		25325234	2014-10-17	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Replication at 17	Table 3	DNA methylation	Maternal smoking in pregnancy	Age, sex, maternal education, social class and technical covariates	M values	Cigarettes per day	Illumina HumanMethylation450	Whole blood		219	1	13 exposed, 206 non-exposed	17			219						25325234_maternal_smoking_in_pregnancy_replication_at_17
Lee KW		25325234	2014-10-17	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Replication at 17 adjusted for current parent and participant smoking	Table 3	DNA methylation	Maternal smoking in pregnancy	Age, sex, participant smoking, parent smoking, maternal education, social class and technical covariates	M values	Cigarettes per day	Illumina HumanMethylation450	Whole blood		116	1	8 exposed, 108 non-exposed	17			116						25325234_maternal_smoking_in_pregnancy_replication_at_17_adjusted_for_current_parent_and_participant_smoking
Lee KW		25325234	2014-10-17	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Replication at age 7	Table 3	DNA methylation	Maternal smoking in pregnancy	Age, sex, maternal education, social class and technical covariates	M values	Cigarettes per day	Illumina HumanMethylation450	Whole blood		447	1	39 exposed, 408 non-exposed	7			447						25325234_maternal_smoking_in_pregnancy_replication_at_age_7
Lee KW		25325234	2014-10-17	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Replication at age 7 adjusted for current parent smoking	Table 3	DNA methylation	Maternal smoking in pregnancy	Age, sex, parent smoking, maternal education, social class and technical covariates	M values	Cigarettes per day	Illumina HumanMethylation450	Whole blood		416	1	36 exposed, 380 non-exposed	7			416						25325234_maternal_smoking_in_pregnancy_replication_at_age_7_adjusted_for_current_parent_smoking
Lee KW		25325234	2014-10-17	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Replication at birth	Table 3	DNA methylation	Maternal smoking in pregnancy	Age, sex, maternal education, social class and technical covariates	M values	Cigarettes per day	Illumina HumanMethylation450	Cord blood		441	1	39 exposed, 402 non-exposed	0			441						25325234_maternal_smoking_in_pregnancy_replication_at_birth
Reynolds LM		25404168	2014-11-18	Age	EFO_0000246	Monocytes	Additional file 1	DNA methylation	Age	Sex, ethnicity and technical covariates	M values	years	Illumina HumanMethylation450	Monocytes		1264	1		60	614	650	590			272	402		25404168_age_monocytes
Reynolds LM		25404168	2014-11-18	Age	EFO_0000246	T cells	Additional file 1	DNA methylation	Age	Sex, ethnicity and technical covariates	M values	Years	Illumina HumanMethylation450	T cells		227	1											25404168_age_t_cells
Tsaprouni LG	CARDIOGENICS	25424692	2014-10-31	Smoking	EFO_0006527, EFO_0005671, EFO_0004318		Table S2	DNA methylation	Smoking	Age, sex, disease status, centre and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		464	1	22 current smokers, 263 ex-smokers, 179 never smokers	55.4	327	137	464						25424692_smoking
Tan Q		25476734	2014-12-04	Birth weight	EFO_0004344		Main text	DNA methylation	Birth weight	Age, sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	Twin study assessing association between methylation in adult blood and twin birth weight discordance	150	1		57	78	72	150						25476734_birth_weight
Richmond RC		25552657	2014-12-30	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Adjusted model	Table 3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, social class, paternal smoking, maternal alcohol in pregnancy and technical covariates	M values		Illumina HumanMethylation450	Cord blood		744	1	76 maternal sustained smokers, 668 maternal non-smokers	30	366	378	744						25552657_maternal_smoking_in_pregnancy_adjusted_model
Richmond RC		25552657	2014-12-30	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Unadjusted model	Table 3	DNA methylation	Maternal smoking in pregnancy	Technical covariates	M values		Illumina HumanMethylation450	Cord blood		790	1	91 maternal sustained smokers, 699 maternal non-smokers	0	388	402	790						25552657_maternal_smoking_in_pregnancy_unadjusted_model
Guida F		25556184	2015-04-15	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking	Table S1	DNA methylation	Smoking	Cell counts and technical covariates	M values		Illumina HumanMethylation450	Whole blood		582	2	117 current smokers, 405 never smokers	54		582	582						25556184_smoking_current_vs_never_smoking
Guida F		25556184	2015-04-15	Smoking	EFO_0005671, EFO_0004318	Former vs never smoking	Table 1	DNA methylation	Smoking	Cell counts and technical covariates	M values		Illumina HumanMethylation450	Whole blood		568	2	163 former smokers, 405 never smokers	54.6		568	568						25556184_smoking_former_vs_never_smoking
