Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Further_Details	N	N_Cohorts	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH	StudyID
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in medium VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in medium VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-	Battram-T_cholesterol_esters_to_total_lipids_ratio_in_medium_vldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in small HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in small HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	669	1	-	48	-	669	669	-	-	-	-	-	Battram-T_cholesterol_esters_to_total_lipids_ratio_in_small_hdl
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in small LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in small LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-	Battram-T_cholesterol_esters_to_total_lipids_ratio_in_small_ldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in small VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	Battram-T_cholesterol_esters_to_total_lipids_ratio_in_small_vldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in very large HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in very large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	Battram-T_cholesterol_esters_to_total_lipids_ratio_in_very_large_hdl
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in very large VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in very large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	591	1	-	48	-	591	591	-	-	-	-	-	Battram-T_cholesterol_esters_to_total_lipids_ratio_in_very_large_vldl
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in very small VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in very small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	666	1	-	48	-	666	666	-	-	-	-	-	Battram-T_cholesterol_esters_to_total_lipids_ratio_in_very_small_vldl
Battram T	ARIES	-	09/04/2019	Fasting cholesterol	EFO_0004574	-	-	DNA methylation	Fasting cholesterol	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	678	1	-	48	-	678	678	-	-	-	-	-	Battram-T_fasting_cholesterol
Battram T	ARIES	-	09/04/2019	Citrate	-	-	-	DNA methylation	Citrate	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	Battram-T_citrate
Battram T	ARIES	-	09/04/2019	Concentration of chylomicrons and extremely large VLDL particles	-	-	-	DNA methylation	Concentration of chylomicrons and extremely large VLDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	608	1	-	48	-	608	608	-	-	-	-	-	Battram-T_concentration_of_chylomicrons_and_extremely_large_vldl_particles
Battram T	ARIES	-	09/04/2019	Concentration of IDL particles	EFO_0008595	-	-	DNA methylation	Concentration of IDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_concentration_of_idl_particles
Battram T	ARIES	-	09/04/2019	Concentration of large HDL particles	-	-	-	DNA methylation	Concentration of large HDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_concentration_of_large_hdl_particles
Battram T	ARIES	-	09/04/2019	Concentration of large LDL particles	-	-	-	DNA methylation	Concentration of large LDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_concentration_of_large_ldl_particles
Battram T	ARIES	-	09/04/2019	Concentration of large VLDL particles	-	-	-	DNA methylation	Concentration of large VLDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-	Battram-T_concentration_of_large_vldl_particles
Battram T	ARIES	-	09/04/2019	Concentration of medium HDL particles	-	-	-	DNA methylation	Concentration of medium HDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_concentration_of_medium_hdl_particles
Battram T	ARIES	-	09/04/2019	Concentration of medium LDL particles	-	-	-	DNA methylation	Concentration of medium LDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_concentration_of_medium_ldl_particles
Battram T	ARIES	-	09/04/2019	Concentration of medium VLDL particles	-	-	-	DNA methylation	Concentration of medium VLDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-	Battram-T_concentration_of_medium_vldl_particles
Battram T	ARIES	-	09/04/2019	Concentration of small HDL particles	-	-	-	DNA methylation	Concentration of small HDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_concentration_of_small_hdl_particles
Battram T	ARIES	-	09/04/2019	Concentration of small LDL particles	-	-	-	DNA methylation	Concentration of small LDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	Battram-T_concentration_of_small_ldl_particles
Battram T	ARIES	-	09/04/2019	Concentration of small VLDL particles	-	-	-	DNA methylation	Concentration of small VLDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	Battram-T_concentration_of_small_vldl_particles
Battram T	ARIES	-	09/04/2019	Concentration of very large VLDL particles	-	-	-	DNA methylation	Concentration of very large VLDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	603	1	-	48	-	603	603	-	-	-	-	-	Battram-T_concentration_of_very_large_vldl_particles
Battram T	ARIES	-	09/04/2019	Concentration of very small VLDL particles	-	-	-	DNA methylation	Concentration of very small VLDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_concentration_of_very_small_vldl_particles
Battram T	ARIES	-	09/04/2019	Conjugated linoleic acid	EFO_0006807	-	-	DNA methylation	Conjugated linoleic acid	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	652	1	-	48	-	652	652	-	-	-	-	-	Battram-T_conjugated_linoleic_acid
Battram T	ARIES	-	09/04/2019	C-reactive protein	EFO_0004458	-	-	DNA methylation	C-reactive protein	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	636	1	-	48	-	636	636	-	-	-	-	-	Battram-T_c-reactive_protein
Battram T	ARIES	-	09/04/2019	Creatinine	EFO_0004518	-	-	DNA methylation	Creatinine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	Battram-T_creatinine
Battram T	ARIES	-	09/04/2019	Cross sectional moment of inertia	-	-	-	DNA methylation	Cross sectional moment of inertia	Age and technical covariates	Beta values	mm4	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-	Battram-T_cross_sectional_moment_of_inertia
Battram T	ARIES	-	09/04/2019	Fasting CTX	-	-	-	DNA methylation	Fasting CTX	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	619	1	-	48	-	619	619	-	-	-	-	-	Battram-T_fasting_ctx
Battram T	ARIES	-	09/04/2019	Diacylglycerol	-	-	-	DNA methylation	Diacylglycerol	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	627	1	-	48	-	627	627	-	-	-	-	-	Battram-T_diacylglycerol
Battram T	ARIES	-	09/04/2019	Body mass index	EFO_0004340	-	-	DNA methylation	Body mass index	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	701	1	-	48	-	701	701	-	-	-	-	-	Battram-T_body_mass_index
Battram T	ARIES	-	09/04/2019	Head circumference	EFO_0005114	-	-	DNA methylation	Head circumference	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	705	1	-	48	-	705	705	-	-	-	-	-	Battram-T_head_circumference
Battram T	ARIES	-	09/04/2019	Hip circumference	EFO_0005093	-	-	DNA methylation	Hip circumference	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	702	1	-	48	-	702	702	-	-	-	-	-	Battram-T_hip_circumference
Battram T	ARIES	-	09/04/2019	Leg length	-	-	-	DNA methylation	Leg length	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	699	1	-	48	-	699	699	-	-	-	-	-	Battram-T_leg_length
Battram T	ARIES	-	09/04/2019	Diastolic blood pressure	EFO_0006336	-	-	DNA methylation	Diastolic blood pressure	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-	Battram-T_diastolic_blood_pressure
Battram T	ARIES	-	09/04/2019	Pulse rate	NCIT_C49676	-	-	DNA methylation	Pulse rate	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-	Battram-T_pulse_rate
Battram T	ARIES	-	09/04/2019	Systolic blood pressure	EFO_0006335	-	-	DNA methylation	Systolic blood pressure	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	696	1	-	48	-	696	696	-	-	-	-	-	Battram-T_systolic_blood_pressure
Battram T	ARIES	-	09/04/2019	Waist circumference	EFO_0004342	-	-	DNA methylation	Waist circumference	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	704	1	-	48	-	704	704	-	-	-	-	-	Battram-T_waist_circumference
Battram T	ARIES	-	09/04/2019	Esterified cholesterol	EFO_0008589	-	-	DNA methylation	Esterified cholesterol	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-	Battram-T_esterified_cholesterol
Battram T	ARIES	-	09/04/2019	Estimated degree of unsaturation	-	-	-	DNA methylation	Estimated degree of unsaturation	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	659	1	-	48	-	659	659	-	-	-	-	-	Battram-T_estimated_degree_of_unsaturation
Battram T	ARIES	-	09/04/2019	Estimated description of fatty acid chain length not actual carbon number	-	-	-	DNA methylation	Estimated description of fatty acid chain length not actual carbon number	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-	Battram-T_estimated_description_of_fatty_acid_chain_length_not_actual_carbon_number
Battram T	ARIES	-	09/04/2019	Free cholesterol in chylomicrons and extremely large VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in chylomicrons and extremely large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	632	1	-	48	-	632	632	-	-	-	-	-	Battram-T_free_cholesterol_in_chylomicrons_and_extremely_large_vldl
Battram T	ARIES	-	09/04/2019	Free cholesterol in IDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in IDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_free_cholesterol_in_idl
Battram T	ARIES	-	09/04/2019	Free cholesterol in large HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	Battram-T_free_cholesterol_in_large_hdl
